construtiva,10,1,0.2,2032,0.0062567
construtiva,10,1,0.4,1132,0.0067232
construtiva,10,1,0.6,983,0.0061282
construtiva,10,1,0.8,857,0.0180614
construtiva,10,2,0.2,1077,0.0109386
construtiva,10,2,0.4,733,0.0211614
construtiva,10,2,0.6,664,0.0157644
construtiva,10,2,0.8,664,0.0152605
construtiva,10,3,0.2,1731,0.0142396
construtiva,10,3,0.4,976,0.0093165
construtiva,10,3,0.6,793,0.0146655
construtiva,10,3,0.8,793,0.0175034
construtiva,10,4,0.2,2414,0.0110495
construtiva,10,4,0.4,1428,0.0169426
construtiva,10,4,0.6,1031,0.0132404
construtiva,10,4,0.8,838,0.0084319
construtiva,10,5,0.2,1484,0.0090081
construtiva,10,5,0.4,892,0.0099854
construtiva,10,5,0.6,829,0.0149634
construtiva,10,5,0.8,559,0.0073423
construtiva,10,6,0.2,1679,0.0104343
construtiva,10,6,0.4,955,0.0213586
construtiva,10,6,0.6,765,0.013492
construtiva,10,6,0.8,765,0.0167662
construtiva,10,7,0.2,2612,0.01475
construtiva,10,7,0.4,1638,0.0151651
construtiva,10,7,0.6,1336,0.0244113
construtiva,10,7,0.8,1088,0.011705
construtiva,10,8,0.2,1729,0.013751
construtiva,10,8,0.4,1041,0.0134613
construtiva,10,8,0.6,947,0.0097268
construtiva,10,8,0.8,591,0.0134573
construtiva,10,9,0.2,1916,0.0113523
construtiva,10,9,0.4,1281,0.0151019
construtiva,10,9,0.6,734,0.012821
construtiva,10,9,0.8,642,0.0133278
construtiva,10,10,0.2,1913,0.0138905
construtiva,10,10,0.4,1306,0.012301
construtiva,10,10,0.6,938,0.0117785
construtiva,10,10,0.8,717,0.0085018


